"time","down.sawtooth","up.sawtooth"
0,1,1
0,1,1
0,1,1
1.000000000160173e-10,0.9999999999,0.9999999999
1.000000000160173e-10,0.9999999999,0.9999999999
0.002,0.9980000000000001,0.9980000000000001
0.004,0.996,0.996
0.006,0.994,0.994
0.008,0.992,0.992
0.01,0.99,0.99
0.012,0.9880000000000001,0.9880000000000001
0.014,0.9860000000000001,0.9860000000000001
0.016,0.9840000000000001,0.9840000000000001
0.018,0.9820000000000001,0.9820000000000001
0.02,0.9800000000000001,0.9800000000000001
0.022,0.978,0.978
0.024,0.976,0.976
0.026,0.974,0.974
0.028,0.972,0.972
0.03,0.97,0.97
0.032,0.968,0.968
0.034,0.966,0.966
0.036,0.964,0.964
0.038,0.962,0.962
0.04,0.96,0.96
0.042,0.958,0.958
0.044,0.9560000000000001,0.9560000000000001
0.046,0.9540000000000001,0.9540000000000001
0.048,0.9520000000000001,0.9520000000000001
0.05,0.9500000000000001,0.9500000000000001
0.052,0.9480000000000001,0.9480000000000001
0.054,0.9460000000000001,0.9460000000000001
0.056,0.9440000000000001,0.9440000000000001
0.058,0.9420000000000001,0.9420000000000001
0.06,0.9400000000000001,0.9400000000000001
0.062,0.9380000000000001,0.9380000000000001
0.064,0.9360000000000001,0.9360000000000001
0.066,0.9340000000000001,0.9340000000000001
0.068,0.9320000000000001,0.9320000000000001
0.07000000000000001,0.93,0.93
0.07199999999999999,0.928,0.928
0.074,0.926,0.926
0.076,0.924,0.924
0.078,0.922,0.922
0.08,0.92,0.92
0.082,0.918,0.918
0.08400000000000001,0.916,0.916
0.08599999999999999,0.914,0.914
0.08799999999999999,0.912,0.912
0.09,0.91,0.91
0.092,0.908,0.908
0.094,0.906,0.906
0.096,0.904,0.904
0.098,0.902,0.902
0.1,0.9,0.9
0.102,0.898,0.898
0.104,0.896,0.896
0.106,0.894,0.894
0.108,0.892,0.892
0.11,0.89,0.89
0.112,0.888,0.888
0.114,0.886,0.886
0.116,0.884,0.884
0.118,0.8820000000000001,0.8820000000000001
0.12,0.8800000000000001,0.8800000000000001
0.122,0.8780000000000001,0.8780000000000001
0.124,0.8760000000000001,0.8760000000000001
0.126,0.8740000000000001,0.8740000000000001
0.128,0.8720000000000001,0.8720000000000001
0.13,0.8700000000000001,0.8700000000000001
0.132,0.8680000000000001,0.8680000000000001
0.134,0.8660000000000001,0.8660000000000001
0.136,0.8640000000000001,0.8640000000000001
0.138,0.8620000000000001,0.8620000000000001
0.14,0.8600000000000001,0.8600000000000001
0.142,0.8580000000000001,0.8580000000000001
0.144,0.8560000000000001,0.8560000000000001
0.146,0.8540000000000001,0.8540000000000001
0.148,0.8520000000000001,0.8520000000000001
0.15,0.8500000000000001,0.8500000000000001
0.152,0.8480000000000001,0.8480000000000001
0.154,0.8460000000000001,0.8460000000000001
0.156,0.8440000000000001,0.8440000000000001
0.158,0.8420000000000001,0.8420000000000001
0.16,0.8400000000000001,0.8400000000000001
0.162,0.8380000000000001,0.8380000000000001
0.164,0.8360000000000001,0.8360000000000001
0.166,0.8340000000000001,0.8340000000000001
0.168,0.8320000000000001,0.8320000000000001
0.17,0.8300000000000001,0.8300000000000001
0.172,0.8280000000000001,0.8280000000000001
0.174,0.8260000000000001,0.8260000000000001
0.176,0.8240000000000001,0.8240000000000001
0.178,0.8220000000000001,0.8220000000000001
0.18,0.8200000000000001,0.8200000000000001
0.182,0.8180000000000001,0.8180000000000001
0.184,0.8160000000000001,0.8160000000000001
0.186,0.8140000000000001,0.8140000000000001
0.188,0.8120000000000001,0.8120000000000001
0.19,0.8100000000000001,0.8100000000000001
0.192,0.8080000000000001,0.8080000000000001
0.194,0.806,0.806
0.196,0.804,0.804
0.198,0.802,0.802
0.2,0.8,0.8
0.202,0.798,0.798
0.204,0.796,0.796
0.206,0.794,0.794
0.208,0.792,0.792
0.21,0.79,0.79
0.212,0.788,0.788
0.214,0.786,0.786
0.216,0.784,0.784
0.218,0.782,0.782
0.22,0.78,0.78
0.222,0.778,0.778
0.224,0.776,0.776
0.226,0.774,0.774
0.228,0.772,0.772
0.23,0.77,0.77
0.232,0.768,0.768
0.234,0.766,0.766
0.236,0.764,0.764
0.238,0.762,0.762
0.24,0.76,0.76
0.24,0.76,0.76
0.242,0.758,0.758
0.244,0.756,0.756
0.246,0.754,0.754
0.248,0.752,0.752
0.25,0.7500000000000001,0.7500000000000001
0.252,0.748,0.748
0.254,0.746,0.746
0.256,0.744,0.744
0.258,0.742,0.742
0.26,0.74,0.74
0.262,0.738,0.738
0.264,0.736,0.736
0.266,0.734,0.734
0.268,0.732,0.732
0.27,0.73,0.73
0.272,0.728,0.728
0.274,0.726,0.726
0.276,0.724,0.724
0.278,0.722,0.722
0.28,0.72,0.72
0.282,0.718,0.718
0.284,0.716,0.716
0.286,0.714,0.714
0.288,0.7120000000000001,0.7120000000000001
0.29,0.7100000000000001,0.7100000000000001
0.292,0.7080000000000001,0.7080000000000001
0.294,0.7060000000000001,0.7060000000000001
0.296,0.7040000000000001,0.7040000000000001
0.298,0.7020000000000001,0.7020000000000001
0.3,0.7000000000000001,0.7000000000000001
0.302,0.6980000000000001,0.6980000000000001
0.304,0.6960000000000001,0.6960000000000001
0.306,0.6940000000000001,0.6940000000000001
0.308,0.6920000000000001,0.6920000000000001
0.31,0.6900000000000001,0.6900000000000001
0.312,0.6880000000000001,0.6880000000000001
0.314,0.6860000000000001,0.6860000000000001
0.316,0.6840000000000001,0.6840000000000001
0.318,0.6820000000000001,0.6820000000000001
0.32,0.68,0.68
0.322,0.678,0.678
0.324,0.676,0.676
0.326,0.674,0.674
0.328,0.672,0.672
0.33,0.67,0.67
0.332,0.668,0.668
0.334,0.666,0.666
0.336,0.664,0.664
0.338,0.662,0.662
0.34,0.66,0.66
0.342,0.658,0.658
0.344,0.6560000000000001,0.6560000000000001
0.346,0.6540000000000001,0.6540000000000001
0.348,0.6520000000000001,0.6520000000000001
0.35,0.6500000000000001,0.6500000000000001
0.352,0.6480000000000001,0.6480000000000001
0.354,0.6460000000000001,0.6460000000000001
0.356,0.6440000000000001,0.6440000000000001
0.358,0.6420000000000001,0.6420000000000001
