"time","modC.d_interbeat","monC.d_interbeat"
0,1,1
0,1,1
0,1,1
0.002,1,1
0.004,1,1
0.006,1,1
0.008,1,1
0.01,1,1
0.012,1,1
0.014,1,1
0.016,1,1
0.018,1,1
0.02,1,1
0.022,1,1
0.024,1,1
0.026,1,1
0.028,1,1
0.03,1,1
0.032,1,1
0.034,1,1
0.036,1,1
0.038,1,1
0.04,1,1
0.042,1,1
0.044,1,1
0.046,1,1
0.048,1,1
0.05,1,1
0.05,1,1
0.052,1,1
0.054,1,1
0.056,1,1
0.058,1,1
0.06,1,1
0.062,1,1
0.064,1,1
0.066,1,1
0.068,1,1
0.07000000000000001,1,1
0.07199999999999999,1,1
0.074,1,1
0.076,1,1
0.078,1,1
0.08,1,1
0.082,1,1
0.08400000000000001,1,1
0.08599999999999999,1,1
0.08799999999999999,1,1
0.09,1,1
0.092,1,1
0.094,1,1
0.096,1,1
0.098,1,1
0.1,1,1
0.1,1,1
0.102,1,1
0.104,1,1
0.106,1,1
0.108,1,1
0.11,1,1
0.112,1,1
0.114,1,1
0.116,1,1
0.118,1,1
0.12,1,1
0.122,1,1
0.124,1,1
0.126,1,1
0.128,1,1
0.13,1,1
0.132,1,1
0.134,1,1
0.136,1,1
0.138,1,1
0.14,1,1
0.142,1,1
0.144,1,1
0.146,1,1
0.148,1,1
0.15,1,1
0.15,1,1
0.152,1,1
0.154,1,1
0.156,1,1
0.158,1,1
0.16,1,1
0.162,1,1
0.164,1,1
0.166,1,1
0.168,1,1
0.17,1,1
0.172,1,1
0.174,1,1
0.176,1,1
0.178,1,1
0.18,1,1
0.182,1,1
0.184,1,1
0.186,1,1
0.188,1,1
0.19,1,1
0.192,1,1
0.194,1,1
0.196,1,1
0.198,1,1
0.2,1,1
0.2,1,1
0.202,1,1
0.204,1,1
0.206,1,1
0.208,1,1
0.21,1,1
0.212,1,1
0.214,1,1
0.216,1,1
0.218,1,1
0.22,1,1
0.2200000001220033,1,1
0.2200000001220033,1,1
0.222,1,1
0.224,1,1
0.226,1,1
0.228,1,1
0.23,1,1
0.232,1,1
0.234,1,1
0.236,1,1
0.238,1,1
0.24,1,1
0.242,1,1
0.244,1,1
0.246,1,1
0.248,1,1
0.25,1,1
0.25,1,1
0.252,1,1
0.254,1,1
0.256,1,1
0.258,1,1
0.26,1,1
0.262,1,1
0.264,1,1
0.266,1,1
0.268,1,1
0.27,1,1
0.272,1,1
0.274,1,1
0.276,1,1
0.278,1,1
0.28,1,1
0.282,1,1
0.284,1,1
0.286,1,1
0.288,1,1
0.29,1,1
0.292,1,1
0.294,1,1
0.296,1,1
0.298,1,1
0.3,1,1
0.3,1,1
0.302,1,1
0.304,1,1
0.306,1,1
0.308,1,1
0.31,1,1
0.312,1,1
0.314,1,1
0.316,1,1
0.318,1,1
0.32,1,1
0.322,1,1
0.324,1,1
0.326,1,1
0.328,1,1
0.33,1,1
0.332,1,1
0.334,1,1
0.336,1,1
0.338,1,1
0.34,1,1
0.342,1,1
0.344,1,1
0.346,1,1
0.348,1,1
0.35,1,1
0.35,1,1
0.352,1,1
0.354,1,1
0.356,1,1
0.358,1,1
0.36,1,1
0.362,1,1
0.364,1,1
0.3640000001369045,1,1
0.3640000001369045,1,1
0.366,1,1
0.368,1,1
0.37,1,1
0.372,1,1
0.374,1,1
0.376,1,1
0.378,1,1
0.38,1,1
0.382,1,1
0.384,1,1
0.386,1,1
0.388,1,1
0.39,1,1
0.392,1,1
0.394,1,1
0.396,1,1
0.398,1,1
0.4,1,1
0.4,1,1
0.402,1,1
0.404,1,1
0.406,1,1
0.408,1,1
0.41,1,1
0.412,1,1
0.414,1,1
0.416,1,1
0.418,1,1
0.42,1,1
0.422,1,1
0.424,1,1
0.426,1,1
0.428,1,1
0.43,1,1
0.432,1,1
0.434,1,1
0.436,1,1
0.438,1,1
0.44,1,1
0.442,1,1
0.444,1,1
0.446,1,1
0.448,1,1
0.45,1,1
0.45,1,1
0.452,1,1
0.454,1,1
0.456,1,1
0.458,1,1
0.46,1,1
0.462,1,1
0.464,1,1
0.466,1,1
0.468,1,1
0.47,1,1
0.472,1,1
0.474,1,1
0.476,1,1
0.478,1,1
0.48,1,1
0.482,1,1
0.484,1,1
0.486,1,1
0.488,1,1
0.49,1,1
0.492,1,1
0.494,1,1
0.496,1,1
0.498,1,1
0.4999999999999999,1,1
0.4999999999999999,1,1
0.502,1,1
0.504,1,1
0.506,1,1
0.508,1,1
0.51,1,1
0.512,1,1
0.514,1,1
0.516,1,1
0.518,1,1
0.52,1,1
0.522,1,1
0.524,1,1
0.526,1,1
0.528,1,1
0.53,1,1
0.532,1,1
0.534,1,1
0.536,1,1
0.538,1,1
0.54,1,1
0.542,1,1
0.544,1,1
0.546,1,1
0.548,1,1
0.5499999999999999,1,1
0.5499999999999999,1,1
0.552,1,1
0.554,1,1
0.556,1,1
0.5580000000000001,1,1
0.5600000000000001,1,1
0.5620000000000001,1,1
0.5639999999999999,1,1
0.5659999999999999,1,1
0.5679999999999999,1,1
0.57,1,1
0.572,1,1
0.574,1,1
0.576,1,1
0.578,1,1
0.58,1,1
0.582,1,1
0.584,1,1
0.586,1,1
0.588,1,1
0.59,1,1
0.592,1,1
0.594,1,1
0.596,1,1
0.598,1,1
0.6,1,1
0.6,1,1
0.602,1,1
0.604,1,1
0.606,1,1
0.608,1,1
0.61,1,1
0.612,1,1
0.614,1,1
0.616,1,1
0.618,1,1
0.62,1,1
0.622,1,1
0.624,1,1
0.626,1,1
0.628,1,1
0.63,1,1
0.632,1,1
0.634,1,1
0.636,1,1
0.638,1,1
0.64,1,1
0.642,1,1
0.644,1,1
0.646,1,1
0.648,1,1
0.65,1,1
0.65,1,1
0.652,1,1
0.654,1,1
0.656,1,1
0.658,1,1
0.66,1,1
0.662,1,1
0.664,1,1
0.666,1,1
0.668,1,1
0.67,1,1
0.672,1,1
0.674,1,1
0.676,1,1
0.678,1,1
0.68,1,1
0.6820000000000001,1,1
0.6840000000000001,1,1
0.6860000000000001,1,1
0.6879999999999999,1,1
0.6899999999999999,1,1
0.6919999999999999,1,1
0.694,1,1
0.696,1,1
0.698,1,1
0.7000000000000001,1,1
